Date,Link,OptionText
2025-10-25 20:52:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:7387822281802014720,Be the player
2025-10-18 00:40:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:7383572441740083200,LinkedIn
2025-09-24 13:26:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:7376595916390158336,No — it hurt my job search.
2025-08-22 09:10:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7364268440158654466,Yes
2025-07-31 23:31:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:7356782666483978242,NO
2025-07-27 15:45:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7355255537325805568,"POSTING, LIKING, COMMENTING"
2025-07-26 11:26:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:7354820331859021824,OpenAI
2024-10-17 21:31:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:7252649974088286208,No plans to implement
2024-05-28 19:28:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:7201264132627513344,Growth + learning opportunity
2022-12-03 19:45:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:7004342550413099008,Nope Still
2022-11-19 13:34:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6998326888574152704,Systems in My 100 Person Co.
2022-01-27 19:51:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6891181426012770304,Yes teach me some tech basics
