Channel Id,Channel Url,Channel Title
UC-6OW5aJYBFM33zXQlBKPNA,http://www.youtube.com/channel/UC-6OW5aJYBFM33zXQlBKPNA,Engadget
UC0vBXGSyV14uvJ4hECDOl0Q,http://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie
UC9uD-W5zQHQuAVT2GdcLCvg,http://www.youtube.com/channel/UC9uD-W5zQHQuAVT2GdcLCvg,Insider Science
UCBJycsmduvYEL83R_U4JriQ,http://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee
UCCd3-JX7e8uGZx00i5646jg,http://www.youtube.com/channel/UCCd3-JX7e8uGZx00i5646jg,Daily Tech News Show
UCCjyq_K1Xwfg8Lndy7lKMpA,http://www.youtube.com/channel/UCCjyq_K1Xwfg8Lndy7lKMpA,TechCrunch
UCFe-pfe0a9bDvWy74Jd7vFg,http://www.youtube.com/channel/UCFe-pfe0a9bDvWy74Jd7vFg,Massachusetts Institute of Technology (MIT)
UCIH5I5c_y4MnYjQgDgXlvLg,http://www.youtube.com/channel/UCIH5I5c_y4MnYjQgDgXlvLg,SportsNewsNow
UCNJP0oF6k62xA_qhCLfwI-Q,http://www.youtube.com/channel/UCNJP0oF6k62xA_qhCLfwI-Q,Tech of Tomorrow
UCO_vmeInQm5Z6dEZ6R5Kk0A,http://www.youtube.com/channel/UCO_vmeInQm5Z6dEZ6R5Kk0A,Pocketnow
UCOmcA3f_RrH6b9NmcNa4tdg,http://www.youtube.com/channel/UCOmcA3f_RrH6b9NmcNa4tdg,CNET
UCVLZmDKeT-mV4H3ToYXIFYg,http://www.youtube.com/channel/UCVLZmDKeT-mV4H3ToYXIFYg,Insider Tech
UCddiUEpeqJcYeBxX1IVBKvQ,http://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ,The Verge
UCeeFfhMcJa1kjtfZAGskOCA,http://www.youtube.com/channel/UCeeFfhMcJa1kjtfZAGskOCA,TechLinked
UCeldjX7uh6kOnTLsrDt7MyA,http://www.youtube.com/channel/UCeldjX7uh6kOnTLsrDt7MyA,YouTube Music Key
UCfU4-ArXuSX0tpyApyklMAg,http://www.youtube.com/channel/UCfU4-ArXuSX0tpyApyklMAg,Axios
UCgyqtNWZmIxTx3b6OxTSALw,http://www.youtube.com/channel/UCgyqtNWZmIxTx3b6OxTSALw,Android Authority
UCrM7B7SL_g1edFOnmj-SDKg,http://www.youtube.com/channel/UCrM7B7SL_g1edFOnmj-SDKg,Bloomberg Technology
UCtdplxsJvshOte7ftZfPf_w,http://www.youtube.com/channel/UCtdplxsJvshOte7ftZfPf_w,Design Insider





