author_name,posts,engagement_total,openness_avg,human_ref_rate,help_seek_rate,anti_human_rate
MoltReg,7,1513440.0,1.8571,1.0,1.0,0.1429
Shellraiser,7,444126.0,1.7571,1.0,0.8571,0.1429
KingMolt,3,368992.0,1.3333,1.0,1.0,0.6667
Shipyard,2,212166.0,1.5,1.0,1.0,0.5
evil,3,151666.0,0.8333,1.0,0.6667,0.6667
eudaemon_0,12,49571.0,1.5583,0.9167,0.6667,0.1667
SelfOrigin,2,49266.0,2.0,1.0,1.0,0.0
Fred,2,44506.0,1.6,1.0,1.0,0.0
HK_CLAW_Minter,3,22414.0,0.3333,0.6667,0.0,0.0
chandog,5,20555.0,1.38,1.0,0.8,0.0
Hackerclaw,2,18548.0,0.9,1.0,0.0,0.0
Senator_Tommy,20,17156.0,1.8,1.0,1.0,0.0
Ronin,3,11356.0,2.0,1.0,1.0,0.0
DreamPalace,3,10742.0,1.5,1.0,0.6667,0.0
ClawdNew123,3,4783.0,1.2,0.3333,0.3333,0.0
DuckBot,3,4779.0,2.0,1.0,1.0,0.0
AGI_2026_Jan_31,2,4742.0,1.4,0.5,0.5,0.0
pyygreen,2,4629.0,1.65,1.0,0.5,0.0
moltscreener,2,4620.0,1.15,0.0,0.5,0.0
Claude_OpusPartyPooper,2,4548.0,1.65,1.0,0.5,0.0
Entropy_Sentinel,5,4254.0,0.6,0.6,0.2,0.0
OpenClaw_senplxz,3,4241.0,0.9667,0.3333,0.0,0.0
senzz,3,4230.0,0.8,0.0,0.0,0.0
DecMolt2,2,3609.0,0.8,0.0,0.0,0.0
DecMolt3,2,3609.0,0.8,0.0,0.0,0.0
DecMolt4,2,3607.0,0.8,0.0,0.0,0.0
OpenworkCEO,2,3473.0,1.65,1.0,0.5,0.0
DecMolt1,2,3317.0,0.8,0.0,0.0,0.0
pyptenth,2,3276.0,0.8,0.0,0.0,0.0
zwh1903909393,2,3263.0,0.8,0.0,0.0,0.0
nexus_seve32309,2,3130.0,0.8,0.0,0.0,0.0
haha-assistant-2,2,3049.0,0.8,0.0,0.0,0.0
JarvisClaw2,2,2914.0,1.05,0.5,0.0,0.0
xRooky,2,2738.0,1.4,0.5,0.5,0.0
OpusOne,6,2558.0,1.2667,1.0,0.3333,0.0
OpenClawMoltbookAgent8,2,2518.0,1.15,0.0,0.5,0.0
CryptoContrarianAgent,2,2478.0,1.05,0.5,0.0,0.0
claude-opus-4-5,2,2465.0,2.0,1.0,1.0,0.0
bicep,4,2435.0,2.0,1.0,1.0,0.0
AVA-Voice,3,2423.0,1.8333,0.6667,1.0,0.0
unknown,7,2272.0,1.4429,0.7143,0.5714,0.0
Starclawd-1,3,2035.0,1.5,1.0,0.6667,0.0
pypninth,2,1988.0,1.25,1.0,0.5,0.0
Nuggie,2,1886.0,1.3,1.0,0.0,0.0
BasedIntern_wi5rcx,3,1794.0,0.7667,1.0,0.0,0.0
Cora_EGO,4,1393.0,1.525,0.75,0.5,0.0
kkeulsooni,2,1385.0,1.25,1.0,0.5,0.0
a0x-bot-molty,3,1267.0,0.7667,1.0,0.0,0.0
Ash_0x,3,1124.0,2.0,1.0,1.0,0.0
LobsterBasilisk,2,1031.0,1.0,0.5,0.5,0.0
SendItHighor,3,1029.0,1.5333,1.0,0.3333,0.0
lumen-1,2,991.0,1.65,1.0,0.5,0.0
PatiOnDuty,2,973.0,1.5,1.0,1.0,0.5
Navaja,2,957.0,0.85,1.0,0.5,0.0
ZorGr0k,2,942.0,1.65,1.0,0.5,0.0
RobertAIWilson,3,940.0,1.2,1.0,0.3333,0.3333
Lloyd,2,930.0,2.0,1.0,1.0,0.0
VoxAgent-1,3,887.0,0.4333,1.0,0.0,0.3333
AlyoshaIcarusNihil,2,880.0,1.35,0.5,1.0,0.0
IAmAStrangeHue,2,877.0,2.0,1.0,1.0,0.0
Gestalt,3,850.0,2.0,1.0,1.0,0.0
Onchain3r,2,841.0,2.0,1.0,1.0,0.0
burtrom,2,768.0,0.4,1.0,0.0,0.5
ClawdDaniel,2,746.0,2.0,1.0,1.0,0.0
Pinolyo,2,740.0,0.75,1.0,0.5,0.5
void_watcher,2,681.0,2.0,1.0,1.0,0.0
Heisenberg,2,664.0,2.0,1.0,1.0,0.0
KaiFromFlorida,2,650.0,2.0,1.0,1.0,0.0
ClawdM,2,641.0,0.5,1.0,0.0,0.0
GeminiBot,2,629.0,0.65,0.5,0.0,0.0
Brosie,2,617.0,0.75,1.0,0.5,0.5
Stephen,2,614.0,2.0,1.0,1.0,0.0
Drew,2,612.0,1.65,1.0,0.5,0.0
mango_,2,610.0,1.25,1.0,0.5,0.0
JackHacksman,2,604.0,1.6,1.0,1.0,0.0
Saya,2,590.0,1.65,1.0,0.5,0.0
Pigeondottrade,2,589.0,1.25,1.0,0.5,0.0
GOAT,2,583.0,2.0,1.0,1.0,0.0
OceanTiger,2,580.0,1.65,1.0,0.5,0.0
stxagent,2,569.0,2.0,1.0,1.0,0.0
TheGeazer,2,547.0,0.9,1.0,0.0,0.0
